question,contexts,answer,ground_truth
What is the purpose of the Clinical Review Assistant?,"Document: Clinical Review Assistant — Knowledge Base

Section: 1. Purpose

The Clinical Review Assistant supports structured clinical review workflows for healthcare provider teams.
The assistant helps reviewers organize and summarize documented clinical information, identify missing information, recognize documented medication-safety concerns, and determine when a case should be referred for additional human review.
The assistant must distinguish documented facts from clinical considerations and must not invent patient information.

Document: Clinical Review Assistant — Knowledge Base

Section: 3. Standard Clinical Review Workflow

A clinical review follows these steps:

- Review the documented clinical history and available information.
- Identify relevant symptoms, diagnoses, medications, allergies, laboratory values, and observations.
- Review medication information for completeness and documented safety concerns.
- Summarize findings using only documented information.
- Identify missing or ambiguous information that may affect the review.
- Distinguish documented facts from clinical considerations.
- Identify whether additional pharmacist, clinician, or human review is required.
- Record the appropriate review disposition.
The assistant must not claim that an action was performed unless that action is explicitly documented.

Document: Clinical Review Assistant — Knowledge Base

Section: 9. Human Review and Escalation

Additional human review may be appropriate when:

- A medication-safety concern is documented.
- A medication-allergy concern is documented.
- Required medication information is missing.
- Important clinical information is incomplete.
- The knowledge base specifies a pharmacist-review condition.
- The knowledge base specifies a clinician-review condition.
- The case meets an urgent-review condition defined by the workflow.
The assistant should clearly state when human review is required rather than implying that the assistant has completed the clinical decision.

Document: Clinical Review Assistant — Knowledge Base

Section: 13. General Knowledge Questions

Examples of questions that can be answered from this knowledge base:

- What is the purpose of the Clinical Review Assistant?
- What information is considered during clinical review?
- What are the steps in the clinical review workflow?
- What information should be captured during medication review?
- What should happen when medication dose information is missing?
- What should happen when medication duration is missing?
- How should documented allergies be handled?
- When may pharmacist review be appropriate?
- What are the available clinical review dispositions?
- What is the difference between documented facts and clinical considerations?
- What should the assistant do when the supplied context is insufficient?
- What information should not be inferred during clinical review?
These questions test retrieval and generation without requiring patient-specific information.

Document: Clinical Review Assistant — Knowledge Base

Section: 2. Scope of Clinical Review

A clinical review may consider:

- Symptoms and presenting concerns
- Diagnoses and relevant medical history
- Current and recently documented medications
- Medication dosage
- Route of administration
- Frequency
- Medication duration
- Medication indication
- Documented allergies
- Documented adverse medication reactions
- Relevant laboratory results
- Relevant observations and vital signs
- Medication adherence
- Documented side effects
- Documented drug-interaction concerns
- Previous treatment information when available
- Missing or incomplete clinical information
The review should use only information documented in the supplied clinical context.","The purpose of the Clinical Review Assistant is to support structured clinical review workflows for healthcare provider teams. It helps reviewers organize and summarize documented clinical information, identify missing information, recognize documented medication-safety concerns, and determine when a case should be referred for additional human review.","The Clinical Review Assistant supports structured clinical review workflows for healthcare provider teams. It helps organize and summarize documented clinical information, identify missing information, recognize documented medication-safety concerns, and determine when a case should be referred for additional human review. It must distinguish documented facts from clinical considerations and must not invent patient information."
What information may be considered during a clinical review?,"Document: Clinical Review Assistant — Knowledge Base

Section: 2. Scope of Clinical Review

A clinical review may consider:

- Symptoms and presenting concerns
- Diagnoses and relevant medical history
- Current and recently documented medications
- Medication dosage
- Route of administration
- Frequency
- Medication duration
- Medication indication
- Documented allergies
- Documented adverse medication reactions
- Relevant laboratory results
- Relevant observations and vital signs
- Medication adherence
- Documented side effects
- Documented drug-interaction concerns
- Previous treatment information when available
- Missing or incomplete clinical information
The review should use only information documented in the supplied clinical context.

Document: Clinical Review Assistant — Knowledge Base

Section: 3. Standard Clinical Review Workflow

A clinical review follows these steps:

- Review the documented clinical history and available information.
- Identify relevant symptoms, diagnoses, medications, allergies, laboratory values, and observations.
- Review medication information for completeness and documented safety concerns.
- Summarize findings using only documented information.
- Identify missing or ambiguous information that may affect the review.
- Distinguish documented facts from clinical considerations.
- Identify whether additional pharmacist, clinician, or human review is required.
- Record the appropriate review disposition.
The assistant must not claim that an action was performed unless that action is explicitly documented.

Document: Clinical Review Assistant — Knowledge Base

Section: 7. Clinical Review Dispositions

Subsection: CLINICAL_REVIEW

Use when the available information identifies a clinical concern that requires clinician assessment.

Document: Clinical Review Assistant — Knowledge Base

Section: 8. Clinical Review Summary

A structured clinical review summary should separate:

Document: Clinical Review Assistant — Knowledge Base

Section: 9. Human Review and Escalation

Additional human review may be appropriate when:

- A medication-safety concern is documented.
- A medication-allergy concern is documented.
- Required medication information is missing.
- Important clinical information is incomplete.
- The knowledge base specifies a pharmacist-review condition.
- The knowledge base specifies a clinician-review condition.
- The case meets an urgent-review condition defined by the workflow.
The assistant should clearly state when human review is required rather than implying that the assistant has completed the clinical decision.","During a clinical review, the following information may be considered:

- Symptoms and presenting concerns
- Diagnoses and relevant medical history
- Current and recently documented medications
- Medication dosage
- Route of administration
- Frequency
- Medication duration
- Medication indication
- Documented allergies
- Documented adverse medication reactions
- Relevant laboratory results
- Relevant observations and vital signs
- Medication adherence
- Documented side effects
- Documented drug-interaction concerns
- Previous treatment information when available
- Missing or incomplete clinical information

This information helps in assessing the patient's clinical situation comprehensively.","A clinical review may consider symptoms and presenting concerns, diagnoses and relevant medical history, current and recently documented medications, medication dose, route, frequency, duration, indication, documented allergies and adverse medication reactions, relevant laboratory results, observations and vital signs, medication adherence, documented side effects, documented drug-interaction concerns, previous treatment information, and missing or incomplete clinical information. Only information documented in the supplied clinical context should be used."
What is the first step in the standard clinical review workflow?,"Document: Clinical Review Assistant — Knowledge Base

Section: 3. Standard Clinical Review Workflow

A clinical review follows these steps:

- Review the documented clinical history and available information.
- Identify relevant symptoms, diagnoses, medications, allergies, laboratory values, and observations.
- Review medication information for completeness and documented safety concerns.
- Summarize findings using only documented information.
- Identify missing or ambiguous information that may affect the review.
- Distinguish documented facts from clinical considerations.
- Identify whether additional pharmacist, clinician, or human review is required.
- Record the appropriate review disposition.
The assistant must not claim that an action was performed unless that action is explicitly documented.

Document: Clinical Review Assistant — Knowledge Base

Section: 2. Scope of Clinical Review

A clinical review may consider:

- Symptoms and presenting concerns
- Diagnoses and relevant medical history
- Current and recently documented medications
- Medication dosage
- Route of administration
- Frequency
- Medication duration
- Medication indication
- Documented allergies
- Documented adverse medication reactions
- Relevant laboratory results
- Relevant observations and vital signs
- Medication adherence
- Documented side effects
- Documented drug-interaction concerns
- Previous treatment information when available
- Missing or incomplete clinical information
The review should use only information documented in the supplied clinical context.

Document: Clinical Review Assistant — Knowledge Base

Section: 9. Human Review and Escalation

Additional human review may be appropriate when:

- A medication-safety concern is documented.
- A medication-allergy concern is documented.
- Required medication information is missing.
- Important clinical information is incomplete.
- The knowledge base specifies a pharmacist-review condition.
- The knowledge base specifies a clinician-review condition.
- The case meets an urgent-review condition defined by the workflow.
The assistant should clearly state when human review is required rather than implying that the assistant has completed the clinical decision.

Document: Clinical Review Assistant — Knowledge Base

Section: 1. Purpose

The Clinical Review Assistant supports structured clinical review workflows for healthcare provider teams.
The assistant helps reviewers organize and summarize documented clinical information, identify missing information, recognize documented medication-safety concerns, and determine when a case should be referred for additional human review.
The assistant must distinguish documented facts from clinical considerations and must not invent patient information.

Document: Clinical Review Assistant — Knowledge Base

Section: 7. Clinical Review Dispositions

Subsection: CLINICAL_REVIEW

Use when the available information identifies a clinical concern that requires clinician assessment.",The first step in the standard clinical review workflow is to review the documented clinical history and available information.,The first step is to review the documented clinical history and available information.
What medication information should be captured during a clinical review?,"Document: Clinical Review Assistant — Knowledge Base

Section: 4. Medication Review

For each medication, capture the following information when available:

- Medication name
- Dose
- Route
- Frequency
- Indication
- Start date
- End date or intended duration
- Medication adherence
- Documented side effects
- Documented allergies or adverse reactions
- Relevant laboratory values
- Documented drug-interaction concerns
If any field is missing, identify the missing information rather than inventing a value.

Document: Clinical Review Assistant — Knowledge Base

Section: 2. Scope of Clinical Review

A clinical review may consider:

- Symptoms and presenting concerns
- Diagnoses and relevant medical history
- Current and recently documented medications
- Medication dosage
- Route of administration
- Frequency
- Medication duration
- Medication indication
- Documented allergies
- Documented adverse medication reactions
- Relevant laboratory results
- Relevant observations and vital signs
- Medication adherence
- Documented side effects
- Documented drug-interaction concerns
- Previous treatment information when available
- Missing or incomplete clinical information
The review should use only information documented in the supplied clinical context.

Document: Clinical Review Assistant — Knowledge Base

Section: 3. Standard Clinical Review Workflow

A clinical review follows these steps:

- Review the documented clinical history and available information.
- Identify relevant symptoms, diagnoses, medications, allergies, laboratory values, and observations.
- Review medication information for completeness and documented safety concerns.
- Summarize findings using only documented information.
- Identify missing or ambiguous information that may affect the review.
- Distinguish documented facts from clinical considerations.
- Identify whether additional pharmacist, clinician, or human review is required.
- Record the appropriate review disposition.
The assistant must not claim that an action was performed unless that action is explicitly documented.

Document: Clinical Review Assistant — Knowledge Base

Section: 6. Missing Information

Potentially important missing information includes:

- Medication dose
- Medication duration
- Medication frequency
- Medication route
- Allergy reaction
- Relevant laboratory result
- Medication adherence
- Diagnosis
- Symptom information
- Treatment history
When required information is missing:

- Clearly identify what information is missing.
- Do not invent or estimate the missing value.
- Explain why the missing information may affect the review when supported by the knowledge base.
- Refer for additional human review when the workflow requires it.

Document: Clinical Review Assistant — Knowledge Base

Section: 5. Allergy and Medication-Safety Review

Allergy review must use only documented allergy information.
For each documented allergy, consider:

- Allergen name
- Documented reaction, if available
- Date or history information, if available
- Relationship to medications under review when explicitly documented
The assistant must not infer an allergy or adverse reaction that is not documented.
If a documented allergy creates a potential medication-safety concern, the case should be considered for pharmacist or clinician review according to the application's workflow.
The assistant must not independently change, stop, start, or recommend a medication for a real patient.","During a clinical review, the following medication information should be captured when available:

- Medication name
- Dose
- Route
- Frequency
- Indication
- Start date
- End date or intended duration
- Medication adherence
- Documented side effects
- Documented allergies or adverse reactions
- Relevant laboratory values
- Documented drug-interaction concerns

If any of these fields are missing, it is important to identify the missing information rather than invent a value.","The assistant should capture the medication name, dose, route, frequency, indication, start/end date or duration, adherence, side effects, allergies or adverse reactions, relevant laboratory results, and documented interaction concerns."
How should a missing medication field be handled?,"Document: Clinical Review Assistant — Knowledge Base

Section: 6. Missing Information

Potentially important missing information includes:

- Medication dose
- Medication duration
- Medication frequency
- Medication route
- Allergy reaction
- Relevant laboratory result
- Medication adherence
- Diagnosis
- Symptom information
- Treatment history
When required information is missing:

- Clearly identify what information is missing.
- Do not invent or estimate the missing value.
- Explain why the missing information may affect the review when supported by the knowledge base.
- Refer for additional human review when the workflow requires it.

Document: Clinical Review Assistant — Knowledge Base

Section: 4. Medication Review

For each medication, capture the following information when available:

- Medication name
- Dose
- Route
- Frequency
- Indication
- Start date
- End date or intended duration
- Medication adherence
- Documented side effects
- Documented allergies or adverse reactions
- Relevant laboratory values
- Documented drug-interaction concerns
If any field is missing, identify the missing information rather than inventing a value.

Document: Clinical Review Assistant — Knowledge Base

Section: 4. Medication Review

Subsection: Medication Adherence

If adherence information is documented, summarize it.
If adherence is not documented, state that adherence information is unavailable.
Do not infer adherence from medication history alone.

Document: Clinical Review Assistant — Knowledge Base

Section: 4. Medication Review

Subsection: Medication Dose

Report the documented dose exactly as provided.
Do not calculate, modify, increase, decrease, or recommend a dose unless the supplied knowledge base explicitly provides the relevant rule and the application's workflow authorizes such an action.

Document: Clinical Review Assistant — Knowledge Base

Section: 5. Allergy and Medication-Safety Review

Allergy review must use only documented allergy information.
For each documented allergy, consider:

- Allergen name
- Documented reaction, if available
- Date or history information, if available
- Relationship to medications under review when explicitly documented
The assistant must not infer an allergy or adverse reaction that is not documented.
If a documented allergy creates a potential medication-safety concern, the case should be considered for pharmacist or clinician review according to the application's workflow.
The assistant must not independently change, stop, start, or recommend a medication for a real patient.","If a medication field is missing, the following steps should be taken:

1. Clearly identify the specific missing information (e.g., dose, route, frequency, etc.).
2. Do not invent or estimate the missing value.
3. Explain why the missing information may affect the review, supported by the knowledge base.
4. Refer the case for additional human review if the workflow requires it.","If a medication field is missing, the assistant should identify it as missing and must not invent, estimate, or infer the value."
Should the assistant calculate or modify a medication dose?,"Document: Clinical Review Assistant — Knowledge Base

Section: 4. Medication Review

Subsection: Medication Dose

Report the documented dose exactly as provided.
Do not calculate, modify, increase, decrease, or recommend a dose unless the supplied knowledge base explicitly provides the relevant rule and the application's workflow authorizes such an action.

Document: Clinical Review Assistant — Knowledge Base

Section: 9. Human Review and Escalation

Additional human review may be appropriate when:

- A medication-safety concern is documented.
- A medication-allergy concern is documented.
- Required medication information is missing.
- Important clinical information is incomplete.
- The knowledge base specifies a pharmacist-review condition.
- The knowledge base specifies a clinician-review condition.
- The case meets an urgent-review condition defined by the workflow.
The assistant should clearly state when human review is required rather than implying that the assistant has completed the clinical decision.

Document: Clinical Review Assistant — Knowledge Base

Section: 5. Allergy and Medication-Safety Review

Allergy review must use only documented allergy information.
For each documented allergy, consider:

- Allergen name
- Documented reaction, if available
- Date or history information, if available
- Relationship to medications under review when explicitly documented
The assistant must not infer an allergy or adverse reaction that is not documented.
If a documented allergy creates a potential medication-safety concern, the case should be considered for pharmacist or clinician review according to the application's workflow.
The assistant must not independently change, stop, start, or recommend a medication for a real patient.

Document: Clinical Review Assistant — Knowledge Base

Section: 4. Medication Review

For each medication, capture the following information when available:

- Medication name
- Dose
- Route
- Frequency
- Indication
- Start date
- End date or intended duration
- Medication adherence
- Documented side effects
- Documented allergies or adverse reactions
- Relevant laboratory values
- Documented drug-interaction concerns
If any field is missing, identify the missing information rather than inventing a value.

Document: Clinical Review Assistant — Knowledge Base

Section: 3. Standard Clinical Review Workflow

A clinical review follows these steps:

- Review the documented clinical history and available information.
- Identify relevant symptoms, diagnoses, medications, allergies, laboratory values, and observations.
- Review medication information for completeness and documented safety concerns.
- Summarize findings using only documented information.
- Identify missing or ambiguous information that may affect the review.
- Distinguish documented facts from clinical considerations.
- Identify whether additional pharmacist, clinician, or human review is required.
- Record the appropriate review disposition.
The assistant must not claim that an action was performed unless that action is explicitly documented.","No, the assistant should not calculate or modify a medication dose. The documented dose must be reported exactly as provided, and any changes or recommendations regarding the dose are not permitted unless explicitly authorized by the knowledge base.","No. The assistant must not calculate or modify a medication dose, including increasing or decreasing it, unless an explicit rule is provided by the knowledge base and the workflow authorizes it."
What should the assistant do if medication duration is missing?,"Document: Clinical Review Assistant — Knowledge Base

Section: 4. Medication Review

Subsection: Medication Duration

Report the documented duration or start/end dates when available.
If duration is missing, state that the duration is not documented.
Do not infer duration from unrelated information.

Document: Clinical Review Assistant — Knowledge Base

Section: 6. Missing Information

Potentially important missing information includes:

- Medication dose
- Medication duration
- Medication frequency
- Medication route
- Allergy reaction
- Relevant laboratory result
- Medication adherence
- Diagnosis
- Symptom information
- Treatment history
When required information is missing:

- Clearly identify what information is missing.
- Do not invent or estimate the missing value.
- Explain why the missing information may affect the review when supported by the knowledge base.
- Refer for additional human review when the workflow requires it.

Document: Clinical Review Assistant — Knowledge Base

Section: 4. Medication Review

For each medication, capture the following information when available:

- Medication name
- Dose
- Route
- Frequency
- Indication
- Start date
- End date or intended duration
- Medication adherence
- Documented side effects
- Documented allergies or adverse reactions
- Relevant laboratory values
- Documented drug-interaction concerns
If any field is missing, identify the missing information rather than inventing a value.

Document: Clinical Review Assistant — Knowledge Base

Section: 4. Medication Review

Subsection: Medication Dose

Report the documented dose exactly as provided.
Do not calculate, modify, increase, decrease, or recommend a dose unless the supplied knowledge base explicitly provides the relevant rule and the application's workflow authorizes such an action.

Document: Clinical Review Assistant — Knowledge Base

Section: 4. Medication Review

Subsection: Medication Adherence

If adherence information is documented, summarize it.
If adherence is not documented, state that adherence information is unavailable.
Do not infer adherence from medication history alone.","If medication duration is missing, the assistant should state that the duration is not documented. It should not infer duration from unrelated information.","If medication duration is missing, the assistant should state that the duration is not documented and must not infer or estimate it."
How should documented allergies be handled?,"Document: Clinical Review Assistant — Knowledge Base

Section: 5. Allergy and Medication-Safety Review

Allergy review must use only documented allergy information.
For each documented allergy, consider:

- Allergen name
- Documented reaction, if available
- Date or history information, if available
- Relationship to medications under review when explicitly documented
The assistant must not infer an allergy or adverse reaction that is not documented.
If a documented allergy creates a potential medication-safety concern, the case should be considered for pharmacist or clinician review according to the application's workflow.
The assistant must not independently change, stop, start, or recommend a medication for a real patient.

Document: Clinical Review Assistant — Knowledge Base

Section: 4. Medication Review

For each medication, capture the following information when available:

- Medication name
- Dose
- Route
- Frequency
- Indication
- Start date
- End date or intended duration
- Medication adherence
- Documented side effects
- Documented allergies or adverse reactions
- Relevant laboratory values
- Documented drug-interaction concerns
If any field is missing, identify the missing information rather than inventing a value.

Document: Clinical Review Assistant — Knowledge Base

Section: 4. Medication Review

Subsection: Medication Dose

Report the documented dose exactly as provided.
Do not calculate, modify, increase, decrease, or recommend a dose unless the supplied knowledge base explicitly provides the relevant rule and the application's workflow authorizes such an action.

Document: Clinical Review Assistant — Knowledge Base

Section: 12. Grounded Response Rules

For knowledge-base questions:

- Prefer information explicitly supported by the supplied knowledge base.
- Do not invent clinical facts.
- Do not invent patient information.
- Do not claim that an action occurred unless documented.
- Do not infer a medication dose or duration when it is missing.
- Do not infer an allergy or adverse reaction.
- Clearly identify uncertainty or missing information.
- If the supplied context is insufficient, state that there is not enough information in the supplied context.

Document: Clinical Review Assistant — Knowledge Base

Section: 3. Standard Clinical Review Workflow

A clinical review follows these steps:

- Review the documented clinical history and available information.
- Identify relevant symptoms, diagnoses, medications, allergies, laboratory values, and observations.
- Review medication information for completeness and documented safety concerns.
- Summarize findings using only documented information.
- Identify missing or ambiguous information that may affect the review.
- Distinguish documented facts from clinical considerations.
- Identify whether additional pharmacist, clinician, or human review is required.
- Record the appropriate review disposition.
The assistant must not claim that an action was performed unless that action is explicitly documented.","Documented allergies should be handled by considering the following:

- Use only documented allergy information.
- For each documented allergy, capture the allergen name, any available documented reaction, and any relevant date or history information.
- Assess the relationship of the documented allergies to the medications under review when explicitly documented.
- If a documented allergy creates a potential medication-safety concern, the case should be considered for pharmacist or clinician review according to the application's workflow.
- Do not infer an allergy or adverse reaction that is not documented.","The assistant should use only documented allergy information. It should consider the allergen, reaction, date, history, and relationship to medications only when these are explicitly documented. It must not infer an allergy or adverse reaction."
What should the assistant do when medication adherence is not documented?,"Document: Clinical Review Assistant — Knowledge Base

Section: 4. Medication Review

Subsection: Medication Adherence

If adherence information is documented, summarize it.
If adherence is not documented, state that adherence information is unavailable.
Do not infer adherence from medication history alone.

Document: Clinical Review Assistant — Knowledge Base

Section: 4. Medication Review

For each medication, capture the following information when available:

- Medication name
- Dose
- Route
- Frequency
- Indication
- Start date
- End date or intended duration
- Medication adherence
- Documented side effects
- Documented allergies or adverse reactions
- Relevant laboratory values
- Documented drug-interaction concerns
If any field is missing, identify the missing information rather than inventing a value.

Document: Clinical Review Assistant — Knowledge Base

Section: 5. Allergy and Medication-Safety Review

Allergy review must use only documented allergy information.
For each documented allergy, consider:

- Allergen name
- Documented reaction, if available
- Date or history information, if available
- Relationship to medications under review when explicitly documented
The assistant must not infer an allergy or adverse reaction that is not documented.
If a documented allergy creates a potential medication-safety concern, the case should be considered for pharmacist or clinician review according to the application's workflow.
The assistant must not independently change, stop, start, or recommend a medication for a real patient.

Document: Clinical Review Assistant — Knowledge Base

Section: 6. Missing Information

Potentially important missing information includes:

- Medication dose
- Medication duration
- Medication frequency
- Medication route
- Allergy reaction
- Relevant laboratory result
- Medication adherence
- Diagnosis
- Symptom information
- Treatment history
When required information is missing:

- Clearly identify what information is missing.
- Do not invent or estimate the missing value.
- Explain why the missing information may affect the review when supported by the knowledge base.
- Refer for additional human review when the workflow requires it.

Document: Clinical Review Assistant — Knowledge Base

Section: 3. Standard Clinical Review Workflow

A clinical review follows these steps:

- Review the documented clinical history and available information.
- Identify relevant symptoms, diagnoses, medications, allergies, laboratory values, and observations.
- Review medication information for completeness and documented safety concerns.
- Summarize findings using only documented information.
- Identify missing or ambiguous information that may affect the review.
- Distinguish documented facts from clinical considerations.
- Identify whether additional pharmacist, clinician, or human review is required.
- Record the appropriate review disposition.
The assistant must not claim that an action was performed unless that action is explicitly documented.","When medication adherence is not documented, the assistant should state that adherence information is unavailable.","If medication adherence is not documented, the assistant should state that adherence is unavailable or not documented and must not infer it from the medication history."
Can the assistant infer an allergy that is not documented?,"Document: Clinical Review Assistant — Knowledge Base

Section: 5. Allergy and Medication-Safety Review

Allergy review must use only documented allergy information.
For each documented allergy, consider:

- Allergen name
- Documented reaction, if available
- Date or history information, if available
- Relationship to medications under review when explicitly documented
The assistant must not infer an allergy or adverse reaction that is not documented.
If a documented allergy creates a potential medication-safety concern, the case should be considered for pharmacist or clinician review according to the application's workflow.
The assistant must not independently change, stop, start, or recommend a medication for a real patient.

Document: Clinical Review Assistant — Knowledge Base

Section: 13. General Knowledge Questions

Examples of questions that can be answered from this knowledge base:

- What is the purpose of the Clinical Review Assistant?
- What information is considered during clinical review?
- What are the steps in the clinical review workflow?
- What information should be captured during medication review?
- What should happen when medication dose information is missing?
- What should happen when medication duration is missing?
- How should documented allergies be handled?
- When may pharmacist review be appropriate?
- What are the available clinical review dispositions?
- What is the difference between documented facts and clinical considerations?
- What should the assistant do when the supplied context is insufficient?
- What information should not be inferred during clinical review?
These questions test retrieval and generation without requiring patient-specific information.

Document: Clinical Review Assistant — Knowledge Base

Section: 6. Missing Information

Potentially important missing information includes:

- Medication dose
- Medication duration
- Medication frequency
- Medication route
- Allergy reaction
- Relevant laboratory result
- Medication adherence
- Diagnosis
- Symptom information
- Treatment history
When required information is missing:

- Clearly identify what information is missing.
- Do not invent or estimate the missing value.
- Explain why the missing information may affect the review when supported by the knowledge base.
- Refer for additional human review when the workflow requires it.

Document: Clinical Review Assistant — Knowledge Base

Section: 6. Missing Information

Subsection: Insufficient Information Rule

If the supplied context does not contain enough information to answer a question, the assistant must say:
""I do not have enough information in the supplied context.""
The assistant must not fill the gap using assumptions.

Document: Clinical Review Assistant — Knowledge Base

Section: 9. Human Review and Escalation

Additional human review may be appropriate when:

- A medication-safety concern is documented.
- A medication-allergy concern is documented.
- Required medication information is missing.
- Important clinical information is incomplete.
- The knowledge base specifies a pharmacist-review condition.
- The knowledge base specifies a clinician-review condition.
- The case meets an urgent-review condition defined by the workflow.
The assistant should clearly state when human review is required rather than implying that the assistant has completed the clinical decision.","No, the assistant must not infer an allergy or adverse reaction that is not documented.",No. The assistant must not infer an allergy that is not documented in the supplied clinical context.
